t,LEAD1/LA,LEAD2/LL,LEAD3/RA,V1'/V1,V2'/V2,PACE,RESPPM,RESPPH,LOFF,GPIO,CRC
175,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
176,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
177,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
178,11000000,126ee97f,13bd69ff,1472a6fd,15037031,1a4a94fd,1b000080,,1d000000,,
179,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
180,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
181,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
182,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
183,11000000,128a857f,1399c8fb,147813fa,1513764d,1aa1f9f9,1b000000,,1d000000,,
184,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
185,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
186,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
187,71900848,51f12c58,010000a0,010000b0,0b0000d0,01000040,c105ff17,,a192f62f,,
188,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
189,11000010,121cf97f,136069ff,1414a4fd,1548e834,1aaa98fd,1b000000,,1d000000,,
190,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
191,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
192,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
193,41dd6348,6198105a,010000a0,010000b0,0b0000d0,01000040,8148fa17,,a176f62f,,
194,04200000,5f040000,bfc4baea,ff04e4d9,13454c68,7f45d411,80869a64,,c0060000,,
195,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
196,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
197,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
198,826d1690,a394b3b0,03000040,03000060,160000a0,02000000,c2550b30,,a2aaff5f,,
199,04200000,60040000,bf448614,ffc4ffff,1245d6a3,7f0513b0,80861b9e,,c0060000,,
200,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
201,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
202,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
203,6175d347,01cc2c58,010000a0,010000b0,0b0000d0,01000000,c16ff917,,0102d12f,,
204,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
205,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
